Name,Address,Latitude,Longitude,Notes,Group,Use HTML,Button Link,Tags
Boulangerie BO&MIE Hôtel de Ville,"48 Rue de Rivoli, 75004 Paris, France",48.8569221,2.354723,<p>WIP</p><p></p>,,,https://share.google/qpj5rbyKLMp6TaF7i,
Boulangerie BO&MIE Montmartre,"13 Bd Montmartre, 75009 Paris, France",48.8715391,2.3417179999999997,<p>Boulangerie design et vitrées sur deux étages.</p><p>Idéale pour un moment de travail dans une ambiance paisible et lumineuse.</p>,,,https://share.google/YnpeKf3T5QbCrJue6,
BO&MIE - Saint Martin,"359 Rue Saint-Martin, 75003 Paris, France",48.868791699999996,2.3552062,"<p>Adresse épurée au style atelier, un peu compacte mais lumineuse.</p><p>Un spot charmant pour s’installer le temps d’un moment de concentration dans une ambiance animé.</p>",,,https://share.google/TI8VgaNybjcfl8995,"Service Continu,Lumineux,Animé"
BO&MIE - Saint Michel,"5 Bd Saint-Michel, 75005 Paris, France",48.8524002,2.3439942,"<p>Boulangerie au décor sobre et paisible, déposée le long d’une avenue classique. </p><p>L’espace reste intime, propice à un moment tranquille au fil du travail.</p>",,,https://share.google/nSuNliEXPTmq78mha,"Service Continu,Lumineux,Animé"
Boulangerie BO&MIE Turbigo,"18 R. de Turbigo, 75002 Paris, France",48.8640778,2.3504509,"<p>Un espace calme et lumineux au style sobre, avec plusieurs espaces bien agencées. </p><p>Idéal pour travailler en toute tranquillité dans un cadre soigné.</p>",,,https://share.google/9nZrwutWNN5p41uqY,"Service Continu,Lumineux,Animé,Team Friendly"
BO&MIE Louvre-Rivoli,"91 Rue de Rivoli, 75001 Paris, France",48.8607103,2.3409906,"<p>Boulangerie moderne et rétro sur trois niveaux, avec verrière, mezzanine et larges espaces lumineux.</p><p>Un cadre haut de gamme et animé, pour une session dans un lieu marquant.</p>",,,https://share.google/BmvXrcZ4ulAJX8AB0,"Service Continu,Lumineux,Animé,Team Friendly"
The Kursaal,"53B Bd de Picpus, 75012 Paris, France",48.845491499999994,2.4011448,"<p>Un coffee shop qui ouvre tôt, au décor épuré entre bois et cuisine ouverte.<br/>Idéal pour travailler et faire une pause déj de qualité.</p>",,,https://g.co/kgs/1wnpKaq,
Bake & Blend,"39 Av. Rapp, 75007 Paris, France",48.858399899999995,2.3007789,"<p>Petit café lumineux et soigné, ambiance apaisée à toute heure.<br/>Parfait pour s’installer un moment après un rendez-vous, dans un cadre discret à deux pas du centre, avec service attentionné et esprit cosy.</p>",,,https://g.co/kgs/eXgZMMK,
Café Vasily Paris,"82 Av. Mozart, 75016 Paris, France",48.852210799999995,2.2678806000000002,<p>Un café hyper cute avec banquettes ouatées et lumière douce.<br/>Lieu tranquille et cocooning parfait pour se poser le temps d’un moment de concentration paisibl.</p>,,,https://g.co/kgs/Yh8MqNK,"Lumineux,Silencieux"
Plan Libre,"12 Rue Cantagrel, 75013 Paris, France",48.826702999999995,2.3766594999999997,"<p>Un espace hybride lumineux et chaleureux, hyper adapté sous une grande verrière au sein de la Cité de Refuge. <br/>Adapté aux sessions de travail en journée, l’endroit offre une atmosphère posée et inspirante.</p>",,,https://g.co/kgs/XtRwxZp,"Service Continu,Lumineux"
AKA Coffee Shop,"25 Rue Mouton-Duvernet, 75014 Paris, France",48.831854899999996,2.327683,"<p>Café d&#x27;inspiration moderne aux lignes minimalistes situé dans le 14ᵉ arrondissement de Paris, ambiance posée et esthétique épurée.<br/>Idéal pour savourer un café de spécialité dans un cadre sobre et lumineux.</p>",,,https://g.co/kgs/LM21RMA,
Good News Coffee Shop,"27 bis Rue Mademoiselle, 75015 Paris, France",48.8436708,2.2955767,"<p>Un coffee shop australien lumineux et chaleureux dans le 15ᵉ.<br/>Parfait pour bosser au calme, avec une touche anglo-saxonne dans l’assiette et le café.</p>",,,https://g.co/kgs/dQ6W7vS,Lumineux
Café Singuliers,"2 Rue Titon, 75011 Paris, France",48.8506611,2.3867109,"<p>Un café-bistrot apaisant, mêlant bois blond, grande verrière et poêle sculptural.<br/>Parfait pour travailler dans une ambiance chaleureuse et inspirante, avec café de spécialité et douceurs maison servies toute la journée.</p>",,,https://g.co/kgs/nZmKWYp,"Silencieux,Team Friendly,Lumineux"
CAFE SHIN,"47 R. des Petites Écuries, 75010 Paris, France",48.8738505,2.3495189,"<p>Un coffee‑shop fusion France–Corée, décoré façon hanok contemporain, baigné de lumière naturelle.<br/>Parfait pour une session calme en semaine autour de lattés originaux et pâtisseries coréennes raffinées</p>",,,https://g.co/kgs/NbHWV7q,Silencieux
Quartier Jeunes,"4 Pl. du Louvre, 75001 Paris, France",48.860046,2.341252,"<p>Un espace café-bar-cowork dans l’ancienne mairie, avec grandes salles sous verrière et vue sur le Louvre.<br/>Gratuit et inspirant pour les moins de 30 ans, parfait pour bosser en journée avant une ambiance plus détendue en fin de session</p>",,,https://g.co/kgs/eZUnufQ,"Silencieux,Animé,Team Friendly"
Kun Café,"68 Rue La Fayette, 75009 Paris, France",48.8757657,2.3439984,"<p>Un café matcha et spécialités asiatiques au design épuré.<br/>Ambiance zen et lumineuse, avec snacks salés/sucrés vegan-friendly — parfait pour une session concentrée. </p><p></p>",,,https://g.co/kgs/FnkqGnP,"Silencieux,Lumineux"
Jaco Coffee,"9 Rue Jacques Cœur, 75004 Paris, France",48.85293129999999,2.3674005,"<p>Un coffee shop intimiste avec quelques places assises et une ambiance feutrée.<br/>Idéal pour se concentrer au calme en semaine, tout en profitant d’un bon café de spécialité.</p>",,,https://g.co/kgs/ekwr2fP,
"Cofftea - Coffee Shop, Salon de Thé, Pâtisseries","8 Rue Berthollet, 75005 Paris, France",48.8397352,2.3455868,"<p>Un coffee‑shop et salon de thé cosy, baigné de lumière dès le matin.<br/>Espace compact mais convivial, parfait pour une session avec café/thé &amp; en-cas maison.</p>",,,https://g.co/kgs/qzyAdef,Lumineux
Onzième Lieu,"91 bis Rue Jean-Pierre Timbaud, 75011 Paris, France",48.868255,2.3788363,"<p>Un espace hybride entre coworking, galerie et café créatif.<br/>Payant à l’heure, idéal pour travailler dans un lieu calme et design, au cœur d’un concept tourné vers l’art, la rencontre et la productivité.</p>",,,https://g.co/kgs/qzV33xa,"Lumineux,Team Friendly,Confortable"
Bonjour Jacob,"30 Rue Dauphine, 75006 Paris, France",48.85471279999999,2.3392127,"<p>Un espresso-bar élégant niché au cœur d’un passage historique, avec une sélection soignée de magazines et café de spécialité.<br/>Idéal pour une pause studieuse et design, entre deux rendez-vous.</p>",,,,"Lumineux,Animé"
Hari Beans By Bonjour Jacob,"31 Rue Yves Toudic, 75010 Paris, France",48.8711084,2.3626894,"<p>Un concept-store mêlant coffee shop, magazines indépendants et vinyles, dans un cadre brut et épuré.<br/>Parfait pour un moment créatif, uniquement sur quelques tables, dans une ambiance inspirante.</p>",,,https://g.co/kgs/JDiv1Wy,"Lumineux,Animé"
Le Pavillon des Canaux,"39 Quai de la Loire, 75019 Paris, France",48.88743249999999,2.3786977,"<p>Un lieu-concept au bord du canal, mêlant café, culture et activités.<br/>Parfait pour bosser au calme <em>en dehors des repas</em>, dans un cadre inspirant et plein de recoins cosy.</p>",,,https://g.co/kgs/g6yUGCB,
MAIF Social Club,"37 Rue de Turenne, 75003 Paris, France",48.85702070000001,2.363969099999999,"<p>Un café lumineux et engagé, installé au cœur d’un lieu culturel hybride.<br/>Parfait pour une pause inspirante entre expo, lecture ou coworking — avec boissons et pâtisseries maison proposées par SAIN Boulangerie</p>",,,https://g.co/kgs/b4Y4HWH,"Silencieux,Team Friendly,Confortable"
Café Maa,"33 Rue du Sommerard, 75005 Paris, France",48.85031420000001,2.3434297,"<p>Un café finlandais lumineux et apaisant, niché dans l’enceinte culturelle de l’Institut Finlandais.<br/>Parfait pour une pause cocooning ou une session courte devant un café délicatement torréfié et des spécialités nordiques, dans un cadre sobre et inspirant .</p>",,,https://g.co/kgs/w7V7oDH,"Lumineux,Silencieux"
Certified Café Paris 7,"83P Rue du Bac, 75007 Paris, France",48.8541288,2.3248502,"<p>Un espresso-bar élégant et épuré situé dans le paisible Beaupassage, parfait pour prendre un bon café de spécialité. </p><p>L’ambiance est calme et inspirante en journée, avec un décor minimaliste idéal pour se poser.</p>",,,https://g.co/kgs/DuhzBf3,"Lumineux,Silencieux,Team Friendly"
ONI Coffee Shop,"10 Bd Saint-Martin, 75010 Paris, France",48.86881670000001,2.3577134,"<p>Un coffee shop lumineux et épuré, à deux pas du canal.<br/>Idéal pour changer d’air en semaine, avec bon café, un ami et une ambiance tranquille.</p>",,,https://g.co/kgs/8V9MAqQ,"Lumineux,Silencieux"
Maru,"57 Rue des Petits Champs, 75001 Paris, France",48.867225,2.334639,"<p>Un café ultra stylé à l’ambiance douce et minimaliste.</p><p>Idéal pour bosser dans une atmosphère apaisée, avec une offre food et boisson aussi belle que qualitative.</p>",,,https://g.co/kgs/L2AE6KE,"Team Friendly,Lumineux,Confortable,Silencieux"
The People Paris Nation,"28 Bis Pl. de la Nation, 75012 Paris, France",48.8477131,2.3973172,"<p>Un espace dans une Hostel design, calme en journée, accessible sans résider sur place.<br/>Parfait pour bosser en toute tranquillité, puis profiter d’une ambiance plus festive en fin de journée.</p>",,,https://g.co/kgs/kgNRAxS,
The People Belleville,"59 Bd de Belleville, 75011 Paris, France",48.8700278,2.378914599999999,"<p>Un lieu chaleureux et brut, entre coffee shop et bar d’hostel.<br/>Idéal pour travailler l’après-midi dans une ambiance détendue, avec une transition naturelle vers le mode apéro en soirée.</p>",,,https://g.co/kgs/YFErSc1,
La REcyclerie,"83 Bd Ornano, 75018 Paris, France",48.89761149999999,2.3440232,"<p>Un grand ancien hangar-gare réhabilité, chaleureux et végétal, avec rez-de-chaussée lumineux et mezzanine cosy. Parfaitement adapté aux petites équipes, l’endroit invite à travailler dans un cadre inspirant — même s’il n’y a pas de prises pour tout le monde.</p>",,,https://g.co/kgs/K9kodKU,"Team Friendly,Lumineux,Service Continu,Animé"
La Main Noire,"12 Rue Cavallotti, 75018 Paris, France",48.8864335,2.3282134,"<p>Un coffee shop chaleureux au style brut et végétal.<br/>Avant tout un restaurant, on y vient pour savourer leurs recettes maison et cafés —<strong> les ordis sont les bienvenus en dehors du déj et week-end.</strong></p>",,,https://g.co/kgs/Mq28ezt,
Le Bichat,"11 Rue Bichat, 75010 Paris, France",48.87025440000001,2.3687356,"<p>Un café-bistrot spacieux et accueillant, avec tables en bas et canapés cosy à l’étage.<br/>Parfait pour s’installer longtemps et profiter d’une cuisine ultra consciente dans une ambiance détendue.</p>",,,https://g.co/kgs/vJxBGpM,"Team Friendly,Lumineux,Confortable"
LEMONADE,"15 Rue du Poteau, 75018 Paris, France",48.89338009999999,2.3424713,"<p>Un café végétal, lumineux et minimaliste.<br/>Idéal pour une pause après un rendez-vous ou un moment de travail express, autour d’un jus frais ou d’une glace en été.</p>",,,https://g.co/kgs/W3h3veP,"Animé,Lumineux"
Cafet'o París 17,"18 Rue Biot, 75017 Paris, France",48.8845221,2.3260987,"<p>Un coffee‑shop colombien stylé, calme et chaleureux.<br/>Décor végétalisé, lumière douce, parfait pour s’installer au calme. En-cas salés et sucrés disponibles toute la journée !</p>",,,https://g.co/kgs/DFij26E,"Silencieux,Service Continu,Confortable"
Yora Restaurant Ternes,"10 Rue Bayen, 75017 Paris, France",48.8793704,2.2952181,"<p>Un resto péruvien moderne, lumineux et bien situé.<br/>Calme entre les services, idéal pour bosser tout en profitant d’une offre sucrée-salée servie en continu.</p>",,,https://g.co/kgs/gNjZaGK,"Lumineux,Service Continu,Confortable"
Yora Restaurant - Sentier,"53 Rue du Caire, 75002 Paris, France",48.86805699999999,2.348506699999999,"<p>Un restaurant péruvien moderne, lumineux et décoré avec goût. </p><p>Paisible hors des repas, idéal pour bosser en solo ou à deux, avec salé et sucré dispo toute la journée !</p>",,,https://g.co/kgs/vGUbvKe,"Lumineux,Silencieux,Confortable"
Diasporâs,"6 Rue de Tracy, 75002 Paris, France",48.8680281,2.3531445,"<p>Un restaurant africain chaleureux, avec plusieurs salles à l’étage.<br/>Ambiance détendue en journée, idéale pour bosser en équipe ou en solo autour d’un bon plat !</p>",,,https://g.co/kgs/xkNaMia,"Team Friendly,Silencieux,Service Continu"